PROCEDURE,Original_Start_Time,Original_Stop_Time
CLAP,0.0,0.0
COMBAT TOURNIQUET,1452.0504995004023,2247.460879120804
SPLINTING,2898.9596403596906,5128.889100899021
COMBAT GAUZE,5787.726443556497,7110.270899100834
WRAP HEAD WOUND,7689.928771228647,9224.693346653408
SWAB AREA WITH ALCOHOL,13402.247592407488,16910.02828171825
IV LINE,16910.02828171825,23455.416473526482
DRAW MEDICATION,23738.331098901,24037.35122877114
ADMINISTER MEDICATION,24037.35122877114,25082.292977023026
IV TOURNIQUET,29729.252847152915,30587.128051948064
SWAB AREA WITH ALCOHOL,30587.128051948064,30642.812427572466
IV LINE,30642.812427572466,33015.48737262731
SWAB AREA WITH ALCOHOL,33146.30595404584,33232.508811188825
DRAW MEDICATION,33232.508811188825,33509.2608491509
ADMINISTER MEDICATION,33509.2608491509,34426.85655344659
SWAB AREA WITH ALCOHOL,40614.62994005994,41033.152477522395
IO LINE,41033.152477522395,42873.152937062805
SWAB AREA WITH ALCOHOL,43121.51970029967,43207.33483516474
DRAW MEDICATION,43207.33483516474,43782.745504495404
ADMINISTER MEDICATION,43782.745504495404,44313.17535464525
DRAW MEDICATION,52139.406683316585,52327.38617382612
SWAB AREA WITH ALCOHOL,52327.38617382612,52601.7171428572
IM ADMINISTRATION,52601.7171428572,53228.39268731273
CHEST-TUBE,53228.39268731273,55390.121748251644
SUTURING,55390.121748251644,58250.091818181834
ORAL AIRWAY,61454.34164835155,61730.16635364636
BAGGING,62577.7603396602,71624.93865134851
KING AIRWAY,73615.71041958046,74683.26362637358
ORAL AIRWAY,76790.35741258734,77030.67662337651
INTUBATION,77832.21086913082,78980.1981818182
SWAB AREA WITH ALCOHOL,83016.4597702297,83139.36869130866
DRAW MEDICATION,83139.36869130866,83447.64836163839
SWAB AREA WITH ALCOHOL,83447.64836163839,83727.15026973016
IM ADMINISTRATION,83998.91064935068,84222.66494505499
VITAL CHECKING,87882.64159840146,88804.71989010976
ECG LEADS,89028.23769230775,90924.76165834164
PULSE-OX,90994.70436563433,91190.57394605402
BLOOD-PRESSURE CUFF,91326.58909090902,92129.5256043956
SWAB AREA WITH ALCOHOL,95460.73210789204,95716.29299700298
IO LINE,95716.29299700298,97443.61078921071
SWAB AREA WITH ALCOHOL,97616.34632367629,97679.38351648353
DRAW MEDICATION,97679.38351648353,98047.24042957046
ADMINISTER MEDICATION,98047.24042957046,98499.38730269732
SWAB AREA WITH ALCOHOL,101950.58679320679,102193.74236763241
DRAW MEDICATION,102193.74236763241,102531.21389610377
IM ADMINISTRATION,102531.21389610377,102971.73266733263
CHEST-TUBE,102971.73266733263,105301.0468231767
SUTURING,105301.0468231767,107792.38285714273
SWAB AREA WITH ALCOHOL,109597.95656343662,109877.12976023981
DRAW MEDICATION,109877.12976023981,110325.06113886106
IM ADMINISTRATION,110325.06113886106,110528.79263736254
VITAL CHECKING,112767.85315684312,113723.85599400604
ECG LEADS,113856.38922077921,115864.16319680307
PULSE-OX,116037.52645354648,116196.60131868118
BLOOD-PRESSURE CUFF,116258.29345654334,118005.66608391608
COMBAT TOURNIQUET,120134.98933066928,121050.61069930061
SPLINTING,121485.78000000001,123241.69093906098
COMBAT GAUZE,123290.11387612388,124713.22690309682
WRAP HEAD WOUND,125276.11720279719,126430.79916083906
ORAL AIRWAY,130149.09326673318,130413.4707992007
BAGGING,130869.25597402595,148890.38325674314
ORAL AIRWAY,149377.7773726274,149540.31872127872
SWAB AREA WITH ALCOHOL,152704.61355644354,152887.12294705294
DRAW MEDICATION,152887.12294705294,153578.80894105884
IM ADMINISTRATION,153578.80894105884,153773.00367632363
CHEST-TUBE,153773.00367632363,155441.82380619377
SUTURING,155441.82380619377,157979.10014985
VITAL CHECKING,161249.8033066932,162243.648011988
ECG LEADS,162362.84856143853,164151.1976523476
PULSE-OX,164223.53040959046,164437.30408591396
BLOOD-PRESSURE CUFF,164532.86331668324,166523.43224775215
