IGNORE,Original_Start_Time,Original_Stop_Time
CLAP,0.0,0.0
ORAL AIRWAY,2592.9125574425466,2759.547662337734
BAGGING,3248.160959040912,21244.74686313692
INTUBATION,22521.0965034965,23436.210329670288
INTUBATION,25123.41335664335,26334.468701298774
ORAL AIRWAY,27551.753016983035,27721.14191808185
KING AIRWAY,28039.620149850176,28687.220499500603
ORAL AIRWAY,31973.726523476606,32071.616583416617
SWAB AREA WITH ALCOHOL,36261.27725274734,37197.79315684307
DRAW MEDICATION,37197.79315684307,37624.74197802197
IM ADMINISTRATION,37624.74197802197,38542.66552447549
CHEST-TUBE PREP,38542.66552447549,39385.83410589406
CHEST-TUBE,39385.83410589406,41696.723856143806
SUTURING,41696.723856143806,46474.94955044954
SWAB AREA WITH ALCOHOL,49967.10854145851,50108.219490509575
DRAW MEDICATION,50108.219490509575,50445.58783216793
SWAB AREA WITH ALCOHOL,50445.58783216793,51079.857632367704
IM ADMINISTRATION,51079.857632367704,51402.58045954055
ECG LEADS,54303.96347652346,55968.54176823188
PLACE CUFF,56376.18230769232,56394.056553446666
PULSE-OX,56376.18230769232,56394.056553446666
BLOOD-PRESSURE CUFF,56633.08732267733,57614.10881118891
VITAL CHECKING,57648.09449550443,58503.965634365675
COMBAT TOURNIQUET,62021.65978021978,63000.64876123876
SPLINTING,63709.909870129806,65612.1436663336
COMBAT GAUZE,65843.4300599401,67504.66312687322
WRAP HEAD WOUND,67682.83681318688,69129.85681318682
CPR (COMPRESSION),72614.90097902104,73045.22808191816
CPR (BREATH),73045.22808191816,73216.85658341656
CPR (COMPRESSION),73216.85658341656,73650.65118881123
CPR (BREATH),73650.65118881123,73831.1200399601
CPR (COMPRESSION),73831.1200399601,74274.57164835163
CPR (BREATH),74274.57164835163,74452.11860139854
CPR (COMPRESSION),74452.11860139854,74897.061938062
CPR (BREATH),74897.061938062,75061.45720279728
CPR (COMPRESSION),75061.45720279728,75504.45869130873
CPR (BREATH),75504.45869130873,75709.20458541457
CPR (COMPRESSION),75709.20458541457,76133.8233266733
CPR (BREATH),76133.8233266733,76310.50282717284
CPR (COMPRESSION),76310.50282717284,76742.95210789205
CPR (BREATH),76742.95210789205,76921.69540459538
CPR (COMPRESSION),76921.69540459538,77358.80772227769
CPR (BREATH),77358.80772227769,77539.04487512492
CPR (COMPRESSION),77539.04487512492,77964.91732267743
CPR (BREATH),77964.91732267743,78161.0874725276
CPR (COMPRESSION),78161.0874725276,78587.76707292706
CPR (BREATH),78587.76707292706,78768.48296703308
CPR (COMPRESSION),78768.48296703308,79204.48927072936
CPR (BREATH),79204.48927072936,79404.18479520493
CPR (COMPRESSION),79404.18479520493,79840.22319680327
CPR (BREATH),79840.22319680327,80054.54553446562
CPR (COMPRESSION),80054.54553446562,80474.80117882112
CPR (BREATH),80474.80117882112,80657.87859140869
CPR (COMPRESSION),80657.87859140869,81099.47544455537
CPR (BREATH),81099.47544455537,81299.82941058942
CPR (COMPRESSION),81299.82941058942,81610.20752247756
SWAB AREA WITH ALCOHOL,87053.07119880129,87321.5137462538
IO LINE,87321.5137462538,89013.37942057944
SWAB AREA WITH ALCOHOL,89209.30876123882,89552.35690309694
DRAW MEDICATION,89552.35690309694,89804.21049950048
ADMINISTER MEDICATION,89804.21049950048,90712.62902097909
IV TOURNIQUET,93934.08956043959,94414.87387612392
SWAB AREA WITH ALCOHOL,94414.87387612392,94793.97
IV LINE,94793.97,97046.67857142849
SWAB AREA WITH ALCOHOL,97867.66960039966,98067.84239760248
DRAW MEDICATION,98067.84239760248,98312.16473526473
ADMINISTER MEDICATION,98312.16473526473,99114.2355344656
IV TOURNIQUET,103211.893006993,103719.33773226773
SWAB AREA WITH ALCOHOL,103719.33773226773,104021.85497502502
IV LINE,104021.85497502502,105576.88771228773
SWAB AREA WITH ALCOHOL,105855.01468531464,106168.56224775236
DRAW MEDICATION,106168.56224775236,106376.74558441555
ADMINISTER MEDICATION,106376.74558441555,107199.31990010002
ORAL AIRWAY,109852.54399600404,109948.64049950062
BAGGING,110341.12429570439,114028.5771128871
ORAL AIRWAY,114345.90296703303,114439.2196903097
ECG LEADS,116286.57542457538,117252.05325674324
PLACE CUFF,117262.6642357643,117565.09177822185
PULSE-OX,117828.2451548451,117876.96593406594
BLOOD-PRESSURE CUFF,118053.3172627372,118781.1678521479
VITAL CHECKING,118795.09651348657,119788.4027772227
SWAB AREA WITH ALCOHOL,122236.72480519481,122619.01945054956
IO LINE,122619.01945054956,124173.8403896105
SWAB AREA WITH ALCOHOL,124371.83112887114,124486.63972027984
DRAW MEDICATION,124486.63972027984,124727.19398601404
ADMINISTER MEDICATION,124727.19398601404,125466.20268731262
IV TOURNIQUET,128393.408031968,128754.72125874127
SWAB AREA WITH ALCOHOL,128754.72125874127,129117.5864835166
IV LINE,129117.5864835166,130696.11146853141
SWAB AREA WITH ALCOHOL,131060.14342657336,131347.11755244766
DRAW MEDICATION,131347.11755244766,131652.21794205793
ADMINISTER MEDICATION,131652.21794205793,132529.10346653347
IV TOURNIQUET,136365.35427572427,136667.36334665344
SWAB AREA WITH ALCOHOL,136667.36334665344,137032.1117082918
IV LINE,137032.1117082918,138662.67569430577
SWAB AREA WITH ALCOHOL,138871.66600399613,139128.8110489511
DRAW MEDICATION,139128.8110489511,139359.7416383617
ADMINISTER MEDICATION,139359.7416383617,140328.96872127874
COMBAT TOURNIQUET,142905.82078921088,143805.55822177834
SPLINTING,144420.3614985015,145751.24532467537
COMBAT GAUZE,145943.78004995012,147196.51690309704
WRAP HEAD WOUND,147458.48718281725,148620.8506993008
SWAB AREA WITH ALCOHOL,152411.90937062944,152879.4795704295
DRAW MEDICATION,152879.4795704295,153107.20834165835
IM ADMINISTRATION,153107.20834165835,153253.549060939
CHEST-TUBE PREP,153253.549060939,154251.22024975036
CHEST-TUBE,154251.22024975036,155236.9345054946
SUTURING,157394.7862537463,160960.59524475518
SWAB AREA WITH ALCOHOL,163386.41502497497,163702.44302697308
DRAW MEDICATION,163702.44302697308,164125.62596403598
ADMINISTER MEDICATION,164125.62596403598,164670.6113586414
SWAB AREA WITH ALCOHOL,166370.23684315686,166653.32556443554
DRAW MEDICATION,166653.32556443554,166781.76311688317
IM ADMINISTRATION,166781.76311688317,167475.98949050944
CHEST-TUBE PREP,167475.98949050944,168128.90889110885
CHEST-TUBE,168128.90889110885,169674.81155844164
SUTURING,169674.81155844164,173562.43591408592
ECG LEADS,176866.36105894102,177763.21129870124
PLACE CUFF,177813.72548451554,178111.06663336657
PULSE-OX,178133.33472527485,178294.47200799192
BLOOD-PRESSURE CUFF,178399.56539460548,179422.13409590416
VITAL CHECKING,179448.4971128872,180788.61827172837
SWAB AREA WITH ALCOHOL,182337.22429570428,182669.45226773218
SWAB AREA WITH ALCOHOL,182669.45226773218,182823.32721278723
DRAW MEDICATION,182823.32721278723,183083.30997003
IM ADMINISTRATION,183083.30997003,183527.74159840166
SWAB AREA WITH ALCOHOL,185155.39852147855,185391.20031968024
IO LINE,185391.20031968024,186814.7441058941
SWAB AREA WITH ALCOHOL,187044.30704295702,187203.89004995005
DRAW MEDICATION,187203.89004995005,187459.4798901099
ADMINISTER MEDICATION,187459.4798901099,188230.10517482512
ORAL AIRWAY,189825.2862437563,189926.70320679332
ORAL AIRWAY,190127.7565834165,190198.77623376614
SWAB AREA WITH ALCOHOL,192147.0688411589,192563.37845154855
SWAB AREA WITH ALCOHOL,192563.37845154855,192673.93501498495
DRAW MEDICATION,192673.93501498495,192924.26439560443
IM ADMINISTRATION,192924.26439560443,193816.45267732276
CHEST-TUBE PREP,193816.45267732276,194415.18032967026
CHEST-TUBE,194415.18032967026,196182.51947052943
SUTURING,196182.51947052943,200493.1659740259
SWAB AREA WITH ALCOHOL,203125.29290709298,203434.98383616377
IO LINE,203434.98383616377,204777.72578421587
SWAB AREA WITH ALCOHOL,204961.21993007,205241.08138861132
DRAW MEDICATION,205241.08138861132,205380.75749250743
ADMINISTER MEDICATION,205380.75749250743,206267.62453546448
DRAW MEDICATION,208210.27825174827,208421.75130869125
IM ADMINISTRATION,208421.75130869125,208714.94196803187
ECG LEADS,211161.02298701296,212045.381958042
PLACE CUFF,212114.6961038962,212464.29017982012
