ignore,PROCEDURE,Original_Start_Time,Original_Stop_Time,Video_Start,Video_Stop,Total_Time,Cleaned_Start_Time,Cleaned_Stop_Time,Posture,Patient_Side,Site,Comments,,,,,,,,,,,,,,,
clap,CLAP,2019-04-04 09:21:58:740439,2019-04-04 09:21:58:740439,-00:03:20.15,-00:03:53.96,00:00.00,09:21:59,09:21:59,"-6,004.35","-7,018.76",,,,,00:13:21.00,,,,,,,,,,,,
Combat Tourniquet,COMBAT TOURNIQUET,2019-04-04 09:25:18:885390,2019-04-04 09:25:52:698947,00:00:00.00,00:00:00.00,00:33.81,09:25:19,09:25:53,0.00,0.00,,,,,,,,,,,,,,,,,
Splinting,SPLINTING,2019-04-04 09:27:59:479801,2019-04-04 09:28:37:859091,00:02:40.59,00:02:45.16,00:38.38,09:27:59,09:28:38,"4,817.83","4,954.80",,,,,,,,,,,,,,,,,
Combat Gauze,COMBAT GAUZE,2019-04-04 09:29:22:439981,2019-04-04 09:30:13:970196,00:04:03.56,00:04:21.27,00:51.53,09:29:22,09:30:14,"7,306.64","7,838.14",,,,,,,,,,,,,,,,,
Wrap Head Wound,WRAP HEAD WOUND,2019-04-04 09:30:42:487437,2019-04-04 09:31:40:902119,00:05:23.60,00:05:48.20,00:58.42,09:30:42,09:31:41,"9,708.06","10,446.10",,,,,,,,,,,,,,,,,
Vital Checking,VITAL CHECKING,2019-04-04 09:35:32:901148,2019-04-04 09:35:46:237488,00:10:14.02,00:09:53.54,00:13.34,09:35:33,09:35:46,"18,420.47","17,806.16",,,,,,,,,,,,,,,,,
ECG Leads,ECG LEADS,2019-04-04 09:35:48:221157,2019-04-04 09:37:01:397363,00:10:29.34,00:11:08.70,01:13.18,09:35:48,09:37:01,"18,880.07","20,060.95",,,,,,,,,,,,,,,,,
Pulse-Ox,PULSE-OX,2019-04-04 09:37:06:662276,2019-04-04 09:37:09:614376,00:11:47.78,00:11:16.92,00:02.95,09:37:07,09:37:10,"21,233.31","20,307.46",,,,,,,,,,,,,,,,,
Blood-Pressure Cuff,BLOOD-PRESSURE CUFF,2019-04-04 09:37:10:290590,2019-04-04 09:38:12:483186,00:11:51.41,00:12:19.78,01:02.19,09:37:10,09:38:12,"21,342.16","22,193.53",,,,,,,,,,,,,,,,,
IV Line,IV LINE,2019-04-04 09:45:24:191635,2019-04-04 09:45:54:185657,00:20:05.31,00:20:01.49,00:29.99,09:45:24,09:45:54,"36,159.19","36,044.60",,,,,,,,,,,,,,,,,
Draw Medication,DRAW MEDICATION,2019-04-04 09:46:09:562270,2019-04-04 09:46:28:745920,00:20:50.68,00:20:36.05,00:19.18,09:46:10,09:46:29,"37,520.31","37,081.41",,,,,,,,,,,,,,,,,
Administer Medication,ADMINISTER MEDICATION,2019-04-04 09:46:28:745920,2019-04-04 09:46:47:982480,00:21:09.86,00:20:55.28,00:19.24,09:46:29,09:46:48,"38,095.82","37,658.51",,,,,,,,,,,,,,,,,
Swab Area with Alcohol,SWAB AREA WITH ALCOHOL,2019-04-04 09:51:18:909639,2019-04-04 09:51:29:706762,00:26:00.02,00:25:37.01,00:10.80,09:51:19,09:51:30,"46,800.73","46,110.23",,,,,,,,,,,,,,,,,
IV Tourniquet,IV TOURNIQUET,2019-04-04 09:51:29:706762,2019-04-04 09:51:39:046772,00:26:10.82,00:25:46.35,00:09.34,09:51:30,09:51:39,"47,124.64","46,390.43",,,,,,,,,,,,,,,,,
Swab Area with Alcohol,SWAB AREA WITH ALCOHOL,2019-04-04 09:51:39:046772,2019-04-04 09:51:44:507180,00:26:20.16,00:25:51.81,00:05.46,09:51:39,09:51:45,"47,404.84","46,554.25",,,,,,,,,,,,,,,,,
IV Line,IV LINE,2019-04-04 09:51:44:507180,2019-04-04 09:52:41:663120,00:26:25.62,00:26:48.96,00:57.16,09:51:45,09:52:42,"47,568.65","48,268.93",,,,,,,,,,,,,,,,,
Draw Medication,DRAW MEDICATION,2019-04-04 09:53:09:741990,2019-04-04 09:53:23:060356,00:27:50.86,00:27:30.36,00:13.32,09:53:10,09:53:23,"50,125.70","49,510.84",,,,,,,,,,,,,,,,,
Administer Medication,ADMINISTER MEDICATION,2019-04-04 09:53:23:060356,2019-04-04 09:53:45:224087,00:28:04.18,00:27:52.53,00:22.16,09:53:23,09:53:45,"50,525.25","50,175.75",,,,,,,,,,,,,,,,,
Swab Area with Alcohol,SWAB AREA WITH ALCOHOL,2019-04-04 09:59:58:279926,2019-04-04 10:00:07:136160,00:34:39.40,00:34:14.44,00:08.86,09:59:58,10:00:07,"62,381.84","61,633.12",,,,,,,,,,,,,,,,,
Swab Area with Alcohol,SWAB AREA WITH ALCOHOL,2019-04-04 10:00:07:136160,2019-04-04 10:00:16:340317,00:34:48.25,00:34:23.64,00:09.20,10:00:07,10:00:16,"62,647.52","61,909.24",,,,,,,,,,,,,,,,,
Draw Medication,DRAW MEDICATION,2019-04-04 10:00:16:340317,2019-04-04 10:00:25:948587,00:34:57.46,00:34:33.25,00:09.61,10:00:16,10:00:26,"62,923.65","62,197.49",,,,,,,,,,,,,,,,,
IM administration,IM ADMINISTRATION,2019-04-04 10:00:25:948587,2019-04-04 10:00:40:681168,00:35:07.06,00:34:47.98,00:14.73,10:00:26,10:00:41,"63,211.90","62,639.47",,,,,,,,,,,,,,,,,
Incision,INCISION,2019-04-04 10:00:40:681168,2019-04-04 10:00:55:440695,00:35:21.80,00:35:02.74,00:14.76,10:00:41,10:00:55,"63,653.87","63,082.25",,,,,,,,,,,,,,,,,
Chest-Tube Prep,CHEST-TUBE PREP,2019-04-04 10:00:55:440695,2019-04-04 10:01:23:115652,00:35:36.56,00:35:30.42,00:27.68,10:00:55,10:01:23,"64,096.66","63,912.50",,,,,,,,,,,,,,,,,
Chest-Tube,CHEST-TUBE,2019-04-04 10:01:23:115652,2019-04-04 10:02:01:572730,00:36:04.23,00:36:08.87,00:38.46,10:01:23,10:02:02,"64,926.91","65,066.21",,,,,,,,,,,,,,,,,
Suturing,SUTURING,2019-04-04 10:02:01:572730,2019-04-04 10:05:40:327479,00:36:42.69,00:39:47.63,03:38.76,10:02:02,10:05:40,"66,080.62","71,628.86",,,,,,,,,,,,,,,,,
oral airway,ORAL AIRWAY,2019-04-04 10:14:21:699417,2019-04-04 10:14:28:521141,00:49:02.81,00:48:35.82,00:06.82,10:14:22,10:14:29,"88,284.42","87,474.67",,,,,,,,,,,,,,,,,
