ignore,PROCEDURE,Original_Start_Time,Original_Stop_Time,Video_Start,Video_Stop,Total_Time,Cleaned_Start_Time,Cleaned_Stop_Time,Posture,Patient_Side,Site,Comments,,,,,,,,,
clap,CLAP,2019-04-04 13:09:55:726683,2019-04-04 13:09:55:726683,13:14:24.73,13:14:24.73,00:00.00,13:09:56,13:09:56,,,,,,,,,,,Oral airway,,Combat Tourniquet
CPR (Compression),CPR (COMPRESSION),2019-04-04 13:10:11:643132,2019-04-04 13:10:32:001683,,,,,,,,,,,,,,,,Bagging,,Splinting
CPR (Breath),CPR (BREATH),2019-04-04 13:10:32:001683,2019-04-04 13:10:35:486337,,,,,,,,,,,,,,,,Intubation,,Combat Gauze
CPR (Compression),CPR (COMPRESSION),2019-04-04 13:10:35:486337,2019-04-04 13:10:55:040019,,,,,,,,,,,,,,,,Intubation-Stylete,,Wrap Head Wound
CPR (Breath),CPR (BREATH),2019-04-04 13:10:55:040019,2019-04-04 13:10:59:643723,,,,,,,,,,,,,,,,Oral Airway,,Vital Checking
CPR (Compression),CPR (COMPRESSION),2019-04-04 13:10:59:643723,2019-04-04 13:11:19:999257,,,,,,,,,,,,,,,,King Airway,,ECG Leads
CPR (Breath),CPR (BREATH),2019-04-04 13:11:19:999257,2019-04-04 13:11:25:407798,,,,,,,,,,,,,,,,Oral Airway,,Pulse-Ox
CPR (Compression),CPR (COMPRESSION),2019-04-04 13:11:25:407798,2019-04-04 13:11:45:830121,,,,,,,,,,,,,,,,combat tourniquet,,Blood-Pressure Cuff
CPR (Breath),CPR (BREATH),2019-04-04 13:11:45:830121,2019-04-04 13:11:50:151590,,,,,,,,,,,,,,,,Splintting,,IV Line
CPR (Compression),CPR (COMPRESSION),2019-04-04 13:11:50:151590,2019-04-04 13:12:10:983818,,,,,,,,,,,,,,,,Combat Gauze,,Draw Medication
CPR (Breath),CPR (BREATH),2019-04-04 13:12:10:983818,2019-04-04 13:12:16:194875,,,,,,,,,,,,,,,,wrap head wound,,Adminster Medication
CPR (Compression),CPR (COMPRESSION),2019-04-04 13:12:16:194875,2019-04-04 13:12:36:210344,,,,,,,,,,,,,,,,Chest-Tube Prep,,Swab Area with Alcohol
CPR (Breath),CPR (BREATH),2019-04-04 13:12:36:210344,2019-04-04 13:12:42:080640,,,,,,,,,,,,,,,,Draw Medication,,IV Tourniquet
CPR (Compression),CPR (COMPRESSION),2019-04-04 13:12:42:080640,2019-04-04 13:13:03:807508,,,,,,,,,,,,,,,,IM administration,,Swab Area with Alcohol
CPR (Breath),CPR (BREATH),2019-04-04 13:13:03:807508,2019-04-04 13:13:08:910825,,,,,,,,,,,,,,,,Chest-Tube,,IV Line
CPR (Compression),CPR (COMPRESSION),2019-04-04 13:13:08:910825,2019-04-04 13:13:20:934672,,,,,,,,,,,,,,,,Suturing,,Draw Medication
CPR (Breath),CPR (BREATH),2019-04-04 13:13:29:203529,2019-04-04 13:13:34:091450,,,,,,,,,,,,,,,,CPR (Compression),,Adminster Medication
CPR (Compression),CPR (COMPRESSION),2019-04-04 13:13:34:091450,2019-04-04 13:13:54:736212,,,,,,,,,,,,,,,,CPR (Breath),,Swab Area with Alcohol
CPR (Breath),CPR (BREATH),2019-04-04 13:13:54:736212,2019-04-04 13:14:00:316282,,,,,,,,,,,,,,,,CPR (Compression),,Swab Area with Alcohol
